doi,source_pdf,title,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence,anchor_found,anchor_sentence
10.1038/s41524-024-01273-y,Towards_atom-level_understanding_of_metal_oxide_catalysts_fo.pdf,npj | computational materials,,npj | computational materials,,,,,0.25,False,
10.1038/s41598-025-95130-7,Machine_learning_assisted_Co3O4NiO_popsicle_sticks-infused_e.pdf,Machine learning assisted Co3O4/,,Co3O4/,nickel foam,1 M KOH,237,10,1.0,True,"RHE), overpotential (237 mV at 10 mA cm−2) and Tafel slope of 62.1 mV dec−1."
10.1038/s41467-025-61367-z,Oxygen_evolution_reaction_on_IrO2110_is_governed_by_Walden-t.pdf,Article,,Article,carbon felt,,,,0.45,False,
10.1038/s41467-021-26025-0,Restructuring_highly_electron-deficient_metal-metal_oxides_f.pdf,ARTICLE,,ARTICLE,foil,0.5 M H2SO4,156,10,1.0,True,"Remarkably, IMO with an electron-deﬁcient metal surface (Irx+; x > 4) exhibit a low overpotential of only ~156 mV at 10 mA cm−2 and excellent durability in acidic media due to the high oxidation state of metal on MoO3."
10.1038/s41467-022-31468-0,RuO2_electronic_structure_and_lattice_strain_dual_engineerin.pdf,ARTICLE,,ARTICLE,glassy carbon,0.5 M H2SO4,156,10,1.0,True,We ﬁnd that the OER activity of the formed LixRuO2 solid solution phase increases with the nominal lithium concentration (x) and reaches a record low overpotential of 156 mV at 10 mA cm−2 in 0.5 M H2SO4 when x reaches 0.52.
10.1038/s41467-022-30838-y,Activated_chemical_bonds_in_nanoporous_and_amorphous_iridium.pdf,ARTICLE,,ARTICLE,carbon felt,,,,0.45,False,
10.1038/s41467-023-40177-1,Synergy_of_dual-atom_catalysts_deviated_from_the_scaling_rel.pdf,Article,,Article,mesh,,250,10,0.9,True,"Moreover, P-doped FeNi@NC showed a low overpotential of 250 mV at a current density of 10 mA cm−2 47."
10.1038/s41524-024-01386-4,Developing_new_electrocatalysts_for_oxygen_evolution_reactio.pdf,npj | computational materials,,npj | computational materials,glassy carbon,,,,0.45,False,
10.1038/s41467-025-56070-y,Time-resolved_spectroscopy_uncovers_deprotonation-induced_re.pdf,Article,,Article,glassy carbon,1 M KOH,235,10,1.0,True,"Subsequently, linear sweep voltammetry (LSV) measurements reveal that the Ni0.83Fe0.17 LDH, doped with 17 wt% Fe, exhibits notable OER activity, achieving an overpotential of 235 mV at a current density of 10 mA cm−2 (Fig."
10.1038/s41467-026-68735-3,Machine-learning-guided_tungsten_single_atoms_promote_oxyhyd.pdf,Article,,Article,foil,1 M KOH,178,10,1.0,True,"Among the tested catalysts, electrodeposited W1–NiFeOOH achieved the onset overpotential of 178 mV at 10 mA cm−2, which was lower than the values obtained for Ir1–NiFeOOH (183 mV), NiFeOOH (214 mV), and a commercial IrO2/C powder-based electrode (Supple- mentary Fig."
10.1038/s41699-025-00529-5,First-principles_and_machine-learning_approaches_for_interpr.pdf,npj | 2D materials and applications,,npj | 2D materials,carbon felt,,,,0.45,False,
10.1038/s41467-024-50605-5,Transfer_learning_guided_discovery_of_efficient_perovskite_o.pdf,Article,,Article,glassy carbon,1 M KOH,315,10,1.0,True,"Pr0.1Sr0.9Co0.5Fe0.5O3 and Pr0.1Sr0.9Co0.5Fe0.3Mn0.2O3 exhibit low overpotentials of 327 mV and 315 mV at 10 mA cm−2, respectively."
10.1038/s41467-019-12994-w,Universal_scaling_relations_for_the_rational_design_of_molec.pdf,ARTICLE,,ARTICLE,indium tin oxide,,400,10,0.9,True,"Catalysts which are cost-effective, highly active and robust for continued periods of time are yet to be found for this endergonic reaction, which demands large over- potentials (≥400 mV) to reach substantial current densities (≥10 mA/cm2) and oxygen conversion rates7,8."
10.1038/s41467-025-63397-z,Intrinsic_metal-support_interactions_break_the_activity-stab.pdf,Article,,Article,foil,0.5 M H2SO4,163,10,1.0,True,"The predicted lowest overpotential to drive a current density of 10 mA cm−2 is 163.0 mV, corresponding to a ratio of 0.26: 0.26: 0.48 (Ru: Ti: Mn)."
10.1038/s41467-024-52519-8,Machine_learning-assisted_dual-atom_sites_design_with_interp.pdf,Article,,Article,foil,0.1 M KOH,340,10,1.0,True,"Additionally, predicted as the optimal bifunctional ORR/OER catalysts, our synthesized Co-Co/Ir-Qv3 experimentally shows not only a remarkable half-wave potential of 0.941/0.937 V for ORR but also a small overpotential of 330/340 mV at 10 mA cm−2 for OER."
